tool_name,input_size,actual_memory_bytes,predicted_memory_bytes,total_allocated_bytes,method_name,wastage_mb,failed,exec_time_s,retry_penalty_time_s,num_retries,confidence,source
burrows-wheeler-aligner,5103,6190,6199,6199,FAMR_1,9,false,3014,0,0,0.9961965474974678,FAMR
burrows-wheeler-aligner,5614,6196,6235,6235,FAMR_1,39,false,3285,0,0,0.995305063172027,FAMR
burrows-wheeler-aligner,6640,6242,0,0,FAMR_1,0,true,3585,0,0,0,no_prediction
burrows-wheeler-aligner,5614,6217,6235,6235,FAMR_1,18,false,3228,0,0,0.995305063172027,FAMR
burrows-wheeler-aligner,6640,6239,0,0,FAMR_1,0,true,2957,0,0,0,no_prediction
burrows-wheeler-aligner,4591,6177,6175,12350,FAMR_1,6173,false,2653,2603,1,0.994707933755174,FAMR
burrows-wheeler-aligner,5614,6188,6235,6235,FAMR_1,47,false,3079,0,0,0.995305063172027,FAMR
burrows-wheeler-aligner,5103,6207,6199,12398,FAMR_1,6191,false,2715,2659,1,0.9961965474974678,FAMR
burrows-wheeler-aligner,5103,6201,6199,12398,FAMR_1,6197,false,2692,2641,1,0.9961965474974678,FAMR
burrows-wheeler-aligner,5614,6215,6235,6235,FAMR_1,20,false,3044,0,0,0.995305063172027,FAMR
burrows-wheeler-aligner,4591,6173,6175,6175,FAMR_1,2,false,2487,0,0,0.994707933755174,FAMR
burrows-wheeler-aligner,4591,6203,6175,12350,FAMR_1,6147,false,2513,2476,1,0.994707933755174,FAMR
burrows-wheeler-aligner,5103,6177,6199,6199,FAMR_1,22,false,2829,0,0,0.9961965474974678,FAMR
burrows-wheeler-aligner,4591,6174,6175,6175,FAMR_1,1,false,2979,0,0,0.994707933755174,FAMR
burrows-wheeler-aligner,4591,6145,6175,6175,FAMR_1,30,false,2713,0,0,0.994707933755174,FAMR
burrows-wheeler-aligner,3566,6128,6141,6141,FAMR_1,13,false,2307,0,0,0.9965252582437494,FAMR
burrows-wheeler-aligner,3056,6108,6279,6279,FAMR_1,171,false,2290,0,0,0.9649043612662409,FAMR
burrows-wheeler-aligner,3056,6092,6279,6279,FAMR_1,187,false,2284,0,0,0.9649043612662409,FAMR
burrows-wheeler-aligner,3566,6108,6141,6141,FAMR_1,33,false,2445,0,0,0.9965252582437494,FAMR
burrows-wheeler-aligner,3566,6107,6141,6141,FAMR_1,34,false,1851,0,0,0.9965252582437494,FAMR
burrows-wheeler-aligner,3566,6125,6141,6141,FAMR_1,16,false,2338,0,0,0.9965252582437494,FAMR
burrows-wheeler-aligner,3056,6109,6279,6279,FAMR_1,170,false,1952,0,0,0.9649043612662409,FAMR
burrows-wheeler-aligner,3056,6109,6279,6279,FAMR_1,170,false,1890,0,0,0.9649043612662409,FAMR
burrows-wheeler-aligner,2546,6103,6118,6118,FAMR_1,15,false,1721,0,0,0.9973309034535223,FAMR
burrows-wheeler-aligner,2546,6087,6118,6118,FAMR_1,31,false,1966,0,0,0.9973309034535223,FAMR
burrows-wheeler-aligner,2546,6104,6118,6118,FAMR_1,14,false,1875,0,0,0.9973309034535223,FAMR
burrows-wheeler-aligner,2546,6097,6118,6118,FAMR_1,21,false,1873,0,0,0.9973309034535223,FAMR
burrows-wheeler-aligner,2546,6102,6118,6118,FAMR_1,16,false,1850,0,0,0.9973309034535223,FAMR
burrows-wheeler-aligner,3056,5166,6279,6279,FAMR_1,1113,false,357,0,0,0.9649043612662409,FAMR
burrows-wheeler-aligner,1730,6071,6102,6102,FAMR_1,31,false,1203,0,0,0.9959083110624198,FAMR
burrows-wheeler-aligner,1730,6076,6102,6102,FAMR_1,26,false,1053,0,0,0.9959083110624198,FAMR
burrows-wheeler-aligner,1730,6068,6102,6102,FAMR_1,34,false,955,0,0,0.9959083110624198,FAMR
burrows-wheeler-aligner,1475,6052,6094,6094,FAMR_1,42,false,1044,0,0,0.9970876104078833,FAMR
burrows-wheeler-aligner,1730,6062,6102,6102,FAMR_1,40,false,960,0,0,0.9959083110624198,FAMR
burrows-wheeler-aligner,1475,6072,6094,6094,FAMR_1,22,false,994,0,0,0.9970876104078833,FAMR
burrows-wheeler-aligner,1475,6057,6094,6094,FAMR_1,37,false,930,0,0,0.9970876104078833,FAMR
burrows-wheeler-aligner,1475,6078,6094,6094,FAMR_1,16,false,774,0,0,0.9970876104078833,FAMR
burrows-wheeler-aligner,813,6015,6038,6038,FAMR_1,23,false,503,0,0,0.9971681780990362,FAMR
burrows-wheeler-aligner,813,6022,6038,6038,FAMR_1,16,false,447,0,0,0.9971681780990362,FAMR
burrows-wheeler-aligner,813,6020,6038,6038,FAMR_1,18,false,444,0,0,0.9971681780990362,FAMR
burrows-wheeler-aligner,813,6030,6038,6038,FAMR_1,8,false,424,0,0,0.9971681780990362,FAMR
burrows-wheeler-aligner,813,6017,6038,6038,FAMR_1,21,false,490,0,0,0.9971681780990362,FAMR
burrows-wheeler-aligner,813,6068,6038,12076,FAMR_1,6008,false,424,366,1,0.9971681780990362,FAMR
burrows-wheeler-aligner,813,6028,6038,6038,FAMR_1,10,false,443,0,0,0.9971681780990362,FAMR
burrows-wheeler-aligner,813,6022,6038,6038,FAMR_1,16,false,444,0,0,0.9971681780990362,FAMR
burrows-wheeler-aligner,406,5973,6002,6002,FAMR_1,29,false,264,0,0,0.9983913048973714,FAMR
burrows-wheeler-aligner,406,5976,6002,6002,FAMR_1,26,false,265,0,0,0.9983913048973714,FAMR
fastq-cleaner,813,1167,1169,1169,FAMR_1,2,false,212,0,0,0.9983127677905473,FAMR
fastq-cleaner,6640,1168,0,0,FAMR_1,0,true,1541,0,0,0,no_prediction
fastq-cleaner,5614,1172,1174,1174,FAMR_1,2,false,1315,0,0,0.9961117185160282,FAMR
fastq-cleaner,5103,1173,1173,1173,FAMR_1,0,false,1196,0,0,0.9969090450644207,FAMR
fastq-cleaner,4591,1172,1173,1173,FAMR_1,1,false,1073,0,0,0.9965799796019393,FAMR
fastq-cleaner,3566,1167,1174,1174,FAMR_1,7,false,847,0,0,0.9970439229753099,FAMR
fastq-cleaner,3056,1167,1173,1173,FAMR_1,6,false,727,0,0,0.9969196537464486,FAMR
fastq-cleaner,2546,1170,1172,1172,FAMR_1,2,false,609,0,0,0.9973884515155556,FAMR
fastq-cleaner,1730,1163,1172,1172,FAMR_1,9,false,426,0,0,0.9971284092848653,FAMR
fastq-cleaner,1475,1165,1168,1168,FAMR_1,3,false,365,0,0,0.9980325478952538,FAMR
fastq-cleaner,813,1166,1169,1169,FAMR_1,3,false,214,0,0,0.9983127677905473,FAMR
fastq-cleaner,610,1167,1169,1169,FAMR_1,2,false,164,0,0,0.9987703745673884,FAMR
